epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.3106,1.49749,2.42447,1.27778,0.68957,0.79608,0.81084,0.53934,1.25181,1.23523,1.18778,0.00332233,0.00332233,0.00332233
2,78.8498,1.41164,1.46649,1.20703,0.62157,0.80152,0.8163,0.48387,1.36121,1.29085,1.36394,0.00661174,0.00661174,0.00661174
3,113.49,1.43574,1.3443,1.23007,0.75939,0.86423,0.81397,0.48889,1.387,1.04198,1.42691,0.00985714,0.00985714,0.00985714
4,148.217,1.43626,1.22329,1.22995,0.78634,0.83107,0.85405,0.54949,1.3083,0.85584,1.24876,0.009802,0.009802,0.009802
5,182.134,1.42736,1.1153,1.23163,0.77905,0.82983,0.84558,0.55538,1.28256,0.84386,1.24921,0.009736,0.009736,0.009736
6,215.896,1.40874,1.02968,1.23073,0.8089,0.83659,0.84965,0.57043,1.25807,0.82383,1.21097,0.00967,0.00967,0.00967
7,249.589,1.39162,0.98462,1.22226,0.79788,0.88299,0.87398,0.58676,1.25478,0.73257,1.23864,0.009604,0.009604,0.009604
8,283.051,1.38521,0.96373,1.22593,0.80173,0.85544,0.85871,0.57737,1.27612,0.7383,1.24004,0.009538,0.009538,0.009538
9,316.464,1.37138,0.93193,1.2188,0.78187,0.86765,0.85268,0.59057,1.25601,0.73082,1.21062,0.009472,0.009472,0.009472
10,350.503,1.35691,0.9121,1.21169,0.76454,0.85599,0.84861,0.58105,1.26562,0.74533,1.24588,0.009406,0.009406,0.009406
11,385.196,1.35105,0.88719,1.21097,0.79411,0.87297,0.86015,0.58449,1.26704,0.71212,1.24369,0.00934,0.00934,0.00934
12,418.959,1.35872,0.8733,1.21011,0.83026,0.86115,0.8667,0.60182,1.24029,0.67087,1.22085,0.009274,0.009274,0.009274
13,452.89,1.34615,0.86269,1.20796,0.78039,0.87038,0.86295,0.59782,1.21232,0.6939,1.20449,0.009208,0.009208,0.009208
14,486.745,1.33555,0.84192,1.20642,0.80301,0.85564,0.86395,0.59194,1.25236,0.67923,1.23861,0.009142,0.009142,0.009142
15,520.551,1.32404,0.84034,1.20156,0.81957,0.87803,0.865,0.5999,1.24374,0.6711,1.22404,0.009076,0.009076,0.009076
16,554.928,1.3253,0.84451,1.20023,0.7945,0.87355,0.8581,0.60048,1.24141,0.68979,1.22196,0.00901,0.00901,0.00901
17,588.89,1.33378,0.83382,1.20658,0.81199,0.89096,0.8758,0.61328,1.23423,0.66861,1.20749,0.008944,0.008944,0.008944
18,622.838,1.31326,0.81492,1.19489,0.81477,0.86996,0.88413,0.62099,1.22041,0.64578,1.21012,0.008878,0.008878,0.008878
19,656.59,1.31445,0.80751,1.20022,0.83523,0.86834,0.88605,0.61619,1.24142,0.65324,1.21306,0.008812,0.008812,0.008812
20,689.914,1.30395,0.79121,1.18731,0.81455,0.88927,0.87574,0.61349,1.23028,0.64249,1.21717,0.008746,0.008746,0.008746
21,723.207,1.29066,0.78565,1.17875,0.81543,0.89999,0.88796,0.62318,1.211,0.62552,1.20692,0.00868,0.00868,0.00868
22,756.606,1.29175,0.77656,1.18276,0.80395,0.88883,0.87724,0.62019,1.20463,0.62399,1.19642,0.008614,0.008614,0.008614
23,790.155,1.29058,0.77928,1.18196,0.84114,0.8596,0.88572,0.6249,1.19419,0.62733,1.19816,0.008548,0.008548,0.008548
24,824.304,1.28777,0.77034,1.17396,0.81878,0.90204,0.8855,0.62063,1.23552,0.63713,1.22325,0.008482,0.008482,0.008482
25,857.539,1.28656,0.77084,1.17703,0.84896,0.84997,0.89128,0.623,1.2103,0.62358,1.19378,0.008416,0.008416,0.008416
26,891.037,1.27933,0.75302,1.16915,0.82601,0.87163,0.88269,0.62224,1.20952,0.62457,1.19249,0.00835,0.00835,0.00835
27,924.243,1.28692,0.76087,1.17867,0.83042,0.88722,0.88418,0.61783,1.2056,0.6196,1.19187,0.008284,0.008284,0.008284
28,957.594,1.2732,0.75337,1.1753,0.81809,0.87574,0.883,0.62489,1.20476,0.61742,1.20234,0.008218,0.008218,0.008218
29,991.006,1.27319,0.74795,1.17002,0.81611,0.90873,0.88141,0.62472,1.19574,0.61526,1.18343,0.008152,0.008152,0.008152
30,1024.5,1.26397,0.74175,1.16563,0.82063,0.89167,0.88893,0.63044,1.20704,0.60468,1.20245,0.008086,0.008086,0.008086
31,1058.17,1.26899,0.7432,1.16688,0.8264,0.88861,0.88213,0.62568,1.20498,0.6155,1.19465,0.00802,0.00802,0.00802
32,1091.43,1.26028,0.73547,1.1638,0.85162,0.87439,0.89127,0.63745,1.19987,0.59505,1.189,0.007954,0.007954,0.007954
33,1124.54,1.25798,0.7263,1.16131,0.83032,0.884,0.88302,0.62941,1.19324,0.60542,1.19406,0.007888,0.007888,0.007888
34,1157.7,1.25468,0.72762,1.16421,0.83427,0.9057,0.88356,0.62457,1.19458,0.59947,1.17804,0.007822,0.007822,0.007822
35,1190.82,1.24207,0.71866,1.14955,0.84023,0.88547,0.88695,0.62453,1.2028,0.59594,1.18692,0.007756,0.007756,0.007756
36,1223.94,1.24172,0.72299,1.157,0.86807,0.86668,0.89791,0.63213,1.21777,0.6004,1.19662,0.00769,0.00769,0.00769
37,1257.17,1.2489,0.71287,1.16435,0.82841,0.8892,0.88092,0.63063,1.18601,0.6008,1.18465,0.007624,0.007624,0.007624
38,1291.14,1.24274,0.71489,1.15949,0.8348,0.8961,0.88984,0.63537,1.18923,0.5926,1.17999,0.007558,0.007558,0.007558
39,1331.73,1.23082,0.70634,1.15589,0.81912,0.88567,0.87976,0.62771,1.20185,0.60359,1.20219,0.007492,0.007492,0.007492
40,1365.44,1.23657,0.69013,1.15582,0.85569,0.86342,0.88901,0.63536,1.19487,0.59747,1.18824,0.007426,0.007426,0.007426
41,1398.83,1.22877,0.69576,1.14769,0.84091,0.88812,0.89388,0.63447,1.19805,0.59468,1.18825,0.00736,0.00736,0.00736
42,1432.13,1.22936,0.69803,1.15317,0.85243,0.88096,0.88878,0.62927,1.20129,0.60854,1.18891,0.007294,0.007294,0.007294
43,1465.43,1.2252,0.69388,1.14623,0.82273,0.90306,0.89017,0.62845,1.20668,0.5975,1.19666,0.007228,0.007228,0.007228
44,1499.11,1.22343,0.69053,1.1527,0.82183,0.8886,0.89392,0.64059,1.18921,0.59027,1.18836,0.007162,0.007162,0.007162
45,1532.75,1.218,0.68621,1.14605,0.86216,0.86878,0.89363,0.63526,1.18852,0.59263,1.18037,0.007096,0.007096,0.007096
46,1566.62,1.21845,0.68251,1.14339,0.87171,0.88344,0.89796,0.64163,1.18171,0.57933,1.17438,0.00703,0.00703,0.00703
47,1599.96,1.20831,0.67554,1.13919,0.83295,0.89845,0.89543,0.63493,1.19787,0.57971,1.19903,0.006964,0.006964,0.006964
48,1633.86,1.22086,0.6747,1.14011,0.82952,0.88224,0.88339,0.63282,1.20225,0.58474,1.18367,0.006898,0.006898,0.006898
49,1669.79,1.20595,0.66996,1.14052,0.84312,0.89513,0.89571,0.64186,1.18212,0.57602,1.17835,0.006832,0.006832,0.006832
50,1704.1,1.20728,0.66213,1.14274,0.85878,0.89737,0.89316,0.63984,1.17375,0.57696,1.18619,0.006766,0.006766,0.006766
51,1738.1,1.20671,0.67318,1.14163,0.8249,0.89637,0.89,0.63346,1.19753,0.58831,1.19864,0.0067,0.0067,0.0067
52,1772.12,1.19832,0.66247,1.13611,0.83422,0.86771,0.88257,0.63552,1.17874,0.5871,1.18984,0.006634,0.006634,0.006634
53,1805.98,1.19704,0.66353,1.1322,0.84465,0.85731,0.87939,0.62407,1.19769,0.5891,1.19219,0.006568,0.006568,0.006568
54,1839.8,1.20072,0.64991,1.13598,0.82365,0.88809,0.8894,0.6416,1.19606,0.58411,1.19604,0.006502,0.006502,0.006502
55,1874.27,1.19996,0.65345,1.13641,0.80806,0.9104,0.88743,0.63489,1.19122,0.58095,1.19485,0.006436,0.006436,0.006436
56,1908.25,1.19595,0.65485,1.13705,0.82374,0.90116,0.88563,0.64168,1.18277,0.58175,1.1863,0.00637,0.00637,0.00637
57,1942.51,1.18491,0.6445,1.1317,0.83647,0.88783,0.89026,0.6427,1.18564,0.57723,1.1882,0.006304,0.006304,0.006304
58,1978.06,1.18534,0.6481,1.1374,0.83745,0.90748,0.89218,0.64114,1.19327,0.57937,1.19684,0.006238,0.006238,0.006238
59,2013.48,1.18429,0.64164,1.12913,0.84048,0.89205,0.88742,0.63962,1.19663,0.57603,1.19381,0.006172,0.006172,0.006172
60,2048.61,1.18003,0.64341,1.12659,0.86157,0.88025,0.8937,0.64457,1.18261,0.57169,1.18087,0.006106,0.006106,0.006106
61,2083.37,1.18207,0.63366,1.12933,0.85347,0.8759,0.88844,0.63834,1.19651,0.58032,1.19253,0.00604,0.00604,0.00604
62,2118.23,1.18023,0.62964,1.12292,0.87208,0.85398,0.89249,0.64471,1.18376,0.5726,1.18794,0.005974,0.005974,0.005974
63,2152.22,1.1787,0.63186,1.12747,0.86069,0.87619,0.89923,0.64885,1.19052,0.57396,1.19605,0.005908,0.005908,0.005908
64,2186.21,1.16549,0.62664,1.1214,0.84541,0.90009,0.89306,0.64507,1.18848,0.57474,1.1852,0.005842,0.005842,0.005842
65,2220.21,1.16991,0.62723,1.11892,0.82299,0.89884,0.88296,0.63629,1.19533,0.57067,1.19713,0.005776,0.005776,0.005776
66,2254.13,1.17015,0.62054,1.12442,0.84227,0.88348,0.89195,0.63925,1.19994,0.56578,1.19826,0.00571,0.00571,0.00571
67,2287.9,1.16753,0.61982,1.11998,0.84785,0.88294,0.88969,0.6448,1.18634,0.56092,1.19014,0.005644,0.005644,0.005644
68,2321.82,1.15113,0.61573,1.11372,0.86072,0.88126,0.89654,0.64384,1.18641,0.57387,1.18788,0.005578,0.005578,0.005578
69,2355.8,1.15539,0.60835,1.10947,0.84741,0.88327,0.88903,0.64842,1.17869,0.55916,1.1778,0.005512,0.005512,0.005512
70,2389.7,1.16057,0.60947,1.11845,0.82824,0.8978,0.89061,0.64512,1.18729,0.56937,1.19198,0.005446,0.005446,0.005446
71,2423.98,1.15714,0.61654,1.116,0.84137,0.88985,0.88331,0.63802,1.18307,0.56543,1.18627,0.00538,0.00538,0.00538
72,2458.31,1.14729,0.60177,1.11089,0.86003,0.87075,0.8923,0.63778,1.19731,0.56273,1.19583,0.005314,0.005314,0.005314
73,2492.52,1.15228,0.60409,1.1126,0.84857,0.88058,0.88435,0.63487,1.20447,0.56484,1.19761,0.005248,0.005248,0.005248
74,2526.47,1.14162,0.60358,1.11108,0.83791,0.87616,0.88371,0.63825,1.20111,0.57245,1.19462,0.005182,0.005182,0.005182
75,2560.09,1.14418,0.60203,1.11179,0.85583,0.88201,0.88362,0.637,1.18964,0.56031,1.18722,0.005116,0.005116,0.005116
76,2593.64,1.14742,0.5984,1.10676,0.86133,0.87248,0.88653,0.64519,1.1902,0.57121,1.19228,0.00505,0.00505,0.00505
77,2627.06,1.14634,0.58856,1.10449,0.845,0.88004,0.88403,0.63921,1.19393,0.57124,1.18969,0.004984,0.004984,0.004984
78,2660.66,1.13974,0.59194,1.10432,0.8466,0.88631,0.89164,0.6456,1.18551,0.57,1.18691,0.004918,0.004918,0.004918
79,2694.41,1.14374,0.58973,1.11081,0.86923,0.87918,0.88639,0.64393,1.18517,0.58457,1.18499,0.004852,0.004852,0.004852
80,2728.28,1.13112,0.58204,1.1032,0.84648,0.87079,0.87909,0.63618,1.19468,0.58964,1.19589,0.004786,0.004786,0.004786
81,2762.18,1.12579,0.58141,1.0991,0.85739,0.86887,0.88387,0.63631,1.1999,0.5796,1.20183,0.00472,0.00472,0.00472
82,2796.24,1.12666,0.5802,1.09753,0.85103,0.87182,0.8889,0.63972,1.1907,0.56096,1.19577,0.004654,0.004654,0.004654
83,2829.69,1.1237,0.57949,1.09431,0.86078,0.87581,0.88703,0.63874,1.19346,0.57384,1.19754,0.004588,0.004588,0.004588
