epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.9373,3.39565,4.09815,3.68877,0.25275,0.50711,0.33546,0.12218,2.07551,2.92383,2.51939,0.00332233,0.00332233,0.00332233
2,78.9742,2.14658,2.37077,2.18809,0.42814,0.51708,0.46947,0.22148,1.8063,2.01761,2.08564,0.00661174,0.00661174,0.00661174
3,116.023,1.91727,1.97036,1.886,0.51888,0.68428,0.63697,0.34007,1.5602,1.66646,1.79917,0.00985714,0.00985714,0.00985714
4,152.466,1.75573,1.65034,1.69189,0.63774,0.70605,0.72872,0.44575,1.45829,1.33108,1.6509,0.009802,0.009802,0.009802
5,189.1,1.6724,1.43577,1.60212,0.72834,0.82809,0.79483,0.50125,1.39866,1.04186,1.57184,0.009736,0.009736,0.009736
6,227.356,1.61069,1.30129,1.55355,0.73608,0.81248,0.81159,0.51713,1.36341,1.03331,1.5094,0.00967,0.00967,0.00967
7,263.64,1.5794,1.20359,1.50906,0.73232,0.81353,0.81128,0.53869,1.31935,0.96641,1.47303,0.009604,0.009604,0.009604
8,299.069,1.55264,1.1479,1.49358,0.74928,0.81854,0.81696,0.52781,1.39475,0.92777,1.51156,0.009538,0.009538,0.009538
9,334.287,1.52659,1.11385,1.47371,0.7499,0.83605,0.84645,0.56699,1.30688,0.82256,1.44821,0.009472,0.009472,0.009472
10,370.107,1.50846,1.07762,1.45523,0.7762,0.82925,0.83151,0.55623,1.30287,0.8059,1.44638,0.009406,0.009406,0.009406
11,405.992,1.49031,1.02526,1.44123,0.77852,0.81547,0.84919,0.57457,1.29119,0.81865,1.43826,0.00934,0.00934,0.00934
12,442.582,1.493,1.0071,1.43615,0.71708,0.83949,0.82705,0.56801,1.2898,0.80181,1.42052,0.009274,0.009274,0.009274
13,478.149,1.47478,0.99149,1.42869,0.76768,0.86029,0.86164,0.57814,1.28647,0.75031,1.40762,0.009208,0.009208,0.009208
14,513.721,1.45476,0.96606,1.42041,0.80437,0.83274,0.85453,0.58629,1.28352,0.74081,1.41785,0.009142,0.009142,0.009142
15,549.1,1.44276,0.95302,1.40546,0.79461,0.86284,0.86208,0.58232,1.30929,0.70517,1.42517,0.009076,0.009076,0.009076
16,584.659,1.44603,0.94787,1.40734,0.80324,0.85511,0.86587,0.58054,1.28534,0.72555,1.41563,0.00901,0.00901,0.00901
