epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.0779,3.28408,3.98025,3.52365,0.71179,0.27497,0.31559,0.13659,1.93653,2.43155,2.2785,0.00332233,0.00332233,0.00332233
2,70.8357,2.10678,2.32188,2.13295,0.50021,0.57644,0.60272,0.30127,1.63455,1.97216,1.95308,0.00661174,0.00661174,0.00661174
3,104.384,1.90509,1.91441,1.87142,0.60682,0.63206,0.69231,0.38605,1.60604,1.43605,1.77893,0.00985714,0.00985714,0.00985714
4,137.475,1.76283,1.61471,1.69146,0.64527,0.69401,0.7528,0.46475,1.42497,1.23791,1.62617,0.009802,0.009802,0.009802
5,169.991,1.68122,1.40649,1.60232,0.67061,0.76497,0.77132,0.48252,1.41643,1.0529,1.56983,0.009736,0.009736,0.009736
6,202.633,1.61767,1.28061,1.55494,0.77608,0.82196,0.83162,0.51399,1.35866,0.9701,1.50684,0.00967,0.00967,0.00967
7,235.014,1.57946,1.1977,1.50548,0.72883,0.84933,0.83801,0.54571,1.34448,0.93303,1.48109,0.009604,0.009604,0.009604
8,267.548,1.55575,1.15921,1.49373,0.7969,0.81405,0.83837,0.54679,1.37448,0.87982,1.48703,0.009538,0.009538,0.009538
9,300.743,1.52942,1.11149,1.47252,0.77302,0.81623,0.84464,0.57022,1.27965,0.84195,1.41563,0.009472,0.009472,0.009472
10,336.678,1.51086,1.07644,1.45517,0.7799,0.82426,0.84942,0.56578,1.31452,0.81449,1.44256,0.009406,0.009406,0.009406
11,370.504,1.49277,1.02975,1.43969,0.7227,0.81146,0.79667,0.53033,1.30058,0.93611,1.42925,0.00934,0.00934,0.00934
12,403.956,1.49795,1.01578,1.43899,0.73732,0.85878,0.83848,0.56702,1.28946,0.78016,1.41869,0.009274,0.009274,0.009274
13,440.732,1.4796,0.99537,1.42884,0.7584,0.87481,0.85479,0.55537,1.30797,0.74301,1.43015,0.009208,0.009208,0.009208
14,476.909,1.45919,0.96425,1.4221,0.77614,0.84658,0.85193,0.58215,1.28527,0.77068,1.41104,0.009142,0.009142,0.009142
15,509.911,1.44736,0.95359,1.40668,0.80864,0.84554,0.86298,0.59522,1.29212,0.72642,1.40286,0.009076,0.009076,0.009076
16,543.289,1.44691,0.95151,1.40449,0.80312,0.84705,0.85326,0.57293,1.27091,0.73566,1.39459,0.00901,0.00901,0.00901
17,576.623,1.44445,0.93227,1.40586,0.80324,0.8301,0.85885,0.59847,1.26931,0.70531,1.37677,0.008944,0.008944,0.008944
18,609.101,1.42078,0.90807,1.39003,0.78325,0.86453,0.87458,0.60277,1.25088,0.68547,1.37235,0.008878,0.008878,0.008878
19,641.534,1.42115,0.90134,1.39045,0.78862,0.83716,0.85954,0.58598,1.26072,0.71569,1.38235,0.008812,0.008812,0.008812
20,676.683,1.40791,0.88091,1.37712,0.77614,0.87721,0.86053,0.5912,1.23814,0.68573,1.36074,0.008746,0.008746,0.008746
21,711.125,1.39062,0.87278,1.3665,0.79219,0.85479,0.85229,0.58142,1.2655,0.71123,1.3958,0.00868,0.00868,0.00868
22,745.026,1.38693,0.8578,1.36395,0.83125,0.82405,0.8743,0.60117,1.25435,0.66331,1.36374,0.008614,0.008614,0.008614
23,777.731,1.38397,0.85833,1.36367,0.82905,0.86564,0.87579,0.61224,1.20371,0.63536,1.32534,0.008548,0.008548,0.008548
24,810.975,1.37556,0.84014,1.35708,0.81658,0.86398,0.87162,0.60525,1.22672,0.64804,1.35123,0.008482,0.008482,0.008482
25,843.809,1.37156,0.84633,1.35255,0.79667,0.89331,0.88134,0.61031,1.2204,0.64666,1.34733,0.008416,0.008416,0.008416
26,877.916,1.36534,0.82674,1.34846,0.7715,0.86339,0.86769,0.61815,1.22645,0.65595,1.341,0.00835,0.00835,0.00835
27,911.477,1.3762,0.8313,1.35508,0.7947,0.87612,0.87595,0.6154,1.24086,0.64413,1.35415,0.008284,0.008284,0.008284
28,945.942,1.35252,0.8282,1.33976,0.81217,0.86276,0.87958,0.61045,1.22781,0.63691,1.34654,0.008218,0.008218,0.008218
29,980.415,1.35335,0.82076,1.33635,0.8391,0.85062,0.88121,0.62342,1.20854,0.63459,1.33513,0.008152,0.008152,0.008152
30,1014.68,1.33985,0.80949,1.33146,0.79734,0.87563,0.87587,0.62605,1.20605,0.63078,1.31753,0.008086,0.008086,0.008086
31,1049.72,1.34921,0.81149,1.33497,0.81366,0.87556,0.87504,0.61384,1.21235,0.64469,1.32835,0.00802,0.00802,0.00802
32,1085.16,1.34388,0.80543,1.33736,0.83391,0.8639,0.88726,0.632,1.21653,0.62278,1.33745,0.007954,0.007954,0.007954
33,1120.86,1.33069,0.7916,1.32455,0.81985,0.8783,0.88061,0.62406,1.20827,0.62087,1.32643,0.007888,0.007888,0.007888
34,1156.65,1.33416,0.79684,1.33261,0.82529,0.85742,0.87583,0.62362,1.21525,0.62323,1.32875,0.007822,0.007822,0.007822
35,1191.91,1.3163,0.78897,1.31729,0.82287,0.88055,0.88757,0.62756,1.2248,0.63265,1.34096,0.007756,0.007756,0.007756
36,1227.5,1.32089,0.79403,1.32535,0.84501,0.85951,0.89585,0.63805,1.19978,0.60161,1.32276,0.00769,0.00769,0.00769
37,1262.47,1.32324,0.78213,1.33019,0.81825,0.89091,0.89006,0.63391,1.19942,0.60976,1.32202,0.007624,0.007624,0.007624
38,1296.45,1.32173,0.78045,1.32383,0.81775,0.89185,0.87962,0.62543,1.1977,0.61502,1.32154,0.007558,0.007558,0.007558
39,1330.38,1.30616,0.77535,1.31594,0.81595,0.86501,0.88662,0.63401,1.20679,0.61304,1.32774,0.007492,0.007492,0.007492
40,1364.4,1.3098,0.76291,1.31374,0.83567,0.87512,0.88726,0.63547,1.185,0.60044,1.31116,0.007426,0.007426,0.007426
41,1396.82,1.3071,0.76246,1.30462,0.82212,0.86822,0.88275,0.63754,1.18303,0.59216,1.30768,0.00736,0.00736,0.00736
42,1429.15,1.30195,0.76708,1.30977,0.82894,0.87801,0.88307,0.62941,1.20354,0.60614,1.32272,0.007294,0.007294,0.007294
43,1461.55,1.29824,0.76104,1.30139,0.81688,0.89079,0.88961,0.64047,1.18936,0.59617,1.31207,0.007228,0.007228,0.007228
44,1493.89,1.29829,0.7562,1.31092,0.81222,0.88105,0.88618,0.63243,1.19861,0.60952,1.31461,0.007162,0.007162,0.007162
45,1528.41,1.29044,0.75459,1.30187,0.81834,0.88219,0.88464,0.63077,1.19075,0.59223,1.31813,0.007096,0.007096,0.007096
46,1561.5,1.29307,0.75408,1.30332,0.84575,0.85598,0.88989,0.63733,1.18532,0.59036,1.30962,0.00703,0.00703,0.00703
47,1594.13,1.28483,0.74555,1.30044,0.82313,0.89751,0.88406,0.6302,1.19896,0.59386,1.32346,0.006964,0.006964,0.006964
48,1626.35,1.29266,0.73969,1.29562,0.80208,0.90287,0.88342,0.62781,1.20531,0.592,1.32185,0.006898,0.006898,0.006898
49,1659.96,1.27669,0.73421,1.29542,0.8258,0.86689,0.89201,0.63585,1.1862,0.58548,1.30349,0.006832,0.006832,0.006832
50,1692.95,1.2833,0.7302,1.2979,0.83003,0.87964,0.8891,0.63659,1.18704,0.57708,1.30785,0.006766,0.006766,0.006766
51,1725.99,1.27971,0.73915,1.29868,0.82286,0.88318,0.89246,0.63887,1.20449,0.58069,1.31151,0.0067,0.0067,0.0067
