epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.0056,3.32727,4.03118,3.58567,0.44012,0.34729,0.28996,0.11064,2.02089,2.30254,2.36493,0.00332233,0.00332233,0.00332233
2,78.5829,2.13271,2.32035,2.16497,0.40205,0.47724,0.45287,0.21575,1.74736,2.05605,1.97845,0.00661174,0.00661174,0.00661174
3,114.81,1.93783,1.94068,1.89088,0.43746,0.72656,0.57307,0.29917,1.56487,1.59716,1.80034,0.00985714,0.00985714,0.00985714
4,150.802,1.77687,1.64572,1.70807,0.58496,0.70194,0.73025,0.41657,1.49816,1.39983,1.7271,0.009802,0.009802,0.009802
5,186.696,1.69073,1.42576,1.61667,0.68099,0.7921,0.77877,0.46635,1.43774,1.05276,1.62412,0.009736,0.009736,0.009736
6,222.586,1.6256,1.29962,1.57053,0.72338,0.75409,0.78878,0.47997,1.39243,1.12876,1.56156,0.00967,0.00967,0.00967
7,258.465,1.59127,1.20445,1.52143,0.75621,0.83167,0.83279,0.53644,1.31634,0.93638,1.48589,0.009604,0.009604,0.009604
8,294.218,1.56282,1.16047,1.50913,0.76113,0.77851,0.83631,0.53997,1.36908,0.92677,1.4964,0.009538,0.009538,0.009538
9,329.68,1.53805,1.11149,1.48487,0.78795,0.84598,0.8471,0.55872,1.32745,0.84705,1.4651,0.009472,0.009472,0.009472
10,365.038,1.51652,1.07759,1.46644,0.73091,0.84043,0.83117,0.55202,1.33911,0.86129,1.47319,0.009406,0.009406,0.009406
11,401.1,1.49481,1.03073,1.44972,0.77924,0.83555,0.84555,0.57626,1.30856,0.83583,1.43692,0.00934,0.00934,0.00934
12,437.578,1.50097,1.00797,1.4444,0.73201,0.82733,0.82819,0.54662,1.29553,0.88006,1.44367,0.009274,0.009274,0.009274
13,474.259,1.47619,0.98886,1.4307,0.76773,0.85862,0.854,0.56244,1.3168,0.76169,1.45243,0.009208,0.009208,0.009208
14,510.617,1.46099,0.96317,1.42555,0.79195,0.82119,0.8424,0.57484,1.28701,0.76208,1.43093,0.009142,0.009142,0.009142
15,547.203,1.44994,0.95826,1.41122,0.79353,0.83395,0.85778,0.57638,1.30943,0.74376,1.43538,0.009076,0.009076,0.009076
16,583.48,1.44445,0.94852,1.40536,0.79476,0.84846,0.85355,0.57631,1.28176,0.72795,1.41921,0.00901,0.00901,0.00901
17,620.203,1.44072,0.94083,1.40909,0.80775,0.85274,0.87454,0.60815,1.25528,0.70376,1.37714,0.008944,0.008944,0.008944
18,656.637,1.41856,0.90786,1.38924,0.7882,0.84836,0.85029,0.57537,1.287,0.73667,1.42001,0.008878,0.008878,0.008878
19,693.103,1.4195,0.90149,1.3882,0.80325,0.86016,0.88141,0.60119,1.25645,0.71136,1.37582,0.008812,0.008812,0.008812
20,729.241,1.40327,0.87753,1.37109,0.77468,0.87173,0.86381,0.5898,1.26455,0.70616,1.38602,0.008746,0.008746,0.008746
21,765.073,1.3904,0.87502,1.36507,0.78143,0.86679,0.86486,0.60434,1.23674,0.69165,1.35457,0.00868,0.00868,0.00868
22,801.05,1.38464,0.85272,1.35849,0.83752,0.8242,0.87484,0.61678,1.22818,0.66032,1.34167,0.008614,0.008614,0.008614
23,836.429,1.38181,0.86093,1.36,0.82728,0.87604,0.88181,0.61916,1.23627,0.6581,1.35331,0.008548,0.008548,0.008548
24,872.446,1.37513,0.84682,1.35382,0.78063,0.89261,0.86932,0.60221,1.25536,0.66013,1.37198,0.008482,0.008482,0.008482
25,908.367,1.36901,0.84746,1.34592,0.82124,0.84959,0.87194,0.60563,1.23485,0.65796,1.3582,0.008416,0.008416,0.008416
26,943.803,1.36437,0.82854,1.34123,0.79579,0.88349,0.88248,0.6162,1.23779,0.66154,1.34742,0.00835,0.00835,0.00835
27,978.574,1.36772,0.83506,1.34527,0.77198,0.87283,0.87787,0.61116,1.23617,0.64502,1.34817,0.008284,0.008284,0.008284
28,1013.32,1.35471,0.82892,1.33668,0.79019,0.87292,0.86507,0.59985,1.2238,0.65047,1.3343,0.008218,0.008218,0.008218
29,1048.61,1.35316,0.82617,1.33266,0.80564,0.86729,0.87427,0.61994,1.21523,0.63864,1.32783,0.008152,0.008152,0.008152
30,1084.03,1.33772,0.81623,1.32446,0.80951,0.89312,0.89385,0.63205,1.20167,0.62129,1.31739,0.008086,0.008086,0.008086
31,1120.06,1.34745,0.81455,1.32979,0.81647,0.87584,0.87267,0.61033,1.22896,0.63172,1.33803,0.00802,0.00802,0.00802
32,1155.84,1.3423,0.80545,1.3299,0.81593,0.87795,0.89145,0.62365,1.23033,0.6158,1.34801,0.007954,0.007954,0.007954
33,1191.65,1.33476,0.7949,1.32373,0.83409,0.86209,0.88553,0.62627,1.21999,0.6223,1.33147,0.007888,0.007888,0.007888
34,1228.65,1.33261,0.79911,1.32606,0.8129,0.87683,0.87317,0.61618,1.21098,0.61575,1.32465,0.007822,0.007822,0.007822
35,1265.59,1.31681,0.78632,1.30937,0.83531,0.87804,0.88568,0.62456,1.22665,0.63289,1.33371,0.007756,0.007756,0.007756
36,1302.56,1.31829,0.78797,1.31614,0.81309,0.89232,0.88919,0.63495,1.20656,0.61085,1.32258,0.00769,0.00769,0.00769
37,1339.82,1.32444,0.78375,1.32363,0.81825,0.87893,0.88871,0.63497,1.19007,0.60567,1.30773,0.007624,0.007624,0.007624
38,1376.8,1.31595,0.78121,1.31291,0.82038,0.88648,0.88766,0.63272,1.20279,0.60815,1.31403,0.007558,0.007558,0.007558
39,1412.65,1.30666,0.77787,1.31061,0.80528,0.88168,0.88539,0.62483,1.23227,0.61247,1.33399,0.007492,0.007492,0.007492
40,1448.22,1.31022,0.76099,1.30864,0.81666,0.88552,0.87959,0.63028,1.20314,0.61016,1.31251,0.007426,0.007426,0.007426
41,1483.91,1.30815,0.76219,1.29769,0.81961,0.86565,0.8843,0.62767,1.20215,0.61289,1.31619,0.00736,0.00736,0.00736
42,1519.57,1.30429,0.76901,1.30524,0.83826,0.87303,0.89155,0.63604,1.19855,0.61894,1.31466,0.007294,0.007294,0.007294
43,1554.74,1.30131,0.76598,1.29618,0.8345,0.87148,0.88563,0.63434,1.19887,0.6028,1.31359,0.007228,0.007228,0.007228
44,1590.29,1.29751,0.75657,1.30514,0.82763,0.88218,0.8903,0.63451,1.19802,0.60606,1.30803,0.007162,0.007162,0.007162
45,1625.55,1.28946,0.75426,1.29384,0.8345,0.88105,0.89315,0.64126,1.19519,0.58401,1.31201,0.007096,0.007096,0.007096
46,1661,1.29182,0.75967,1.29578,0.84061,0.8655,0.89624,0.64217,1.19354,0.59658,1.30587,0.00703,0.00703,0.00703
47,1696.35,1.28633,0.7486,1.2947,0.83168,0.87407,0.8989,0.63843,1.18549,0.5943,1.3045,0.006964,0.006964,0.006964
48,1731.93,1.29249,0.74839,1.28949,0.82911,0.87964,0.8864,0.63437,1.2086,0.60564,1.31645,0.006898,0.006898,0.006898
49,1767.01,1.27956,0.73447,1.28955,0.84148,0.87492,0.8897,0.63033,1.21337,0.58888,1.32637,0.006832,0.006832,0.006832
50,1802.44,1.28633,0.73365,1.29254,0.85934,0.86372,0.89187,0.63429,1.19852,0.5872,1.3158,0.006766,0.006766,0.006766
51,1838.22,1.28131,0.74782,1.29032,0.83069,0.88523,0.88522,0.63352,1.19228,0.58804,1.30674,0.0067,0.0067,0.0067
52,1873.78,1.27517,0.72807,1.27478,0.83951,0.87661,0.8815,0.6348,1.18177,0.58498,1.30377,0.006634,0.006634,0.006634
53,1909.33,1.27108,0.73219,1.27811,0.83547,0.87761,0.88272,0.63544,1.17905,0.5837,1.29938,0.006568,0.006568,0.006568
54,1944.98,1.27717,0.72183,1.28262,0.84601,0.87259,0.88595,0.63981,1.18244,0.58252,1.30246,0.006502,0.006502,0.006502
55,1980.37,1.26579,0.72247,1.2761,0.85822,0.869,0.89357,0.64194,1.18257,0.58604,1.30034,0.006436,0.006436,0.006436
56,2015.57,1.2698,0.72337,1.27717,0.84191,0.89016,0.89642,0.64186,1.17402,0.57454,1.28995,0.00637,0.00637,0.00637
57,2051.24,1.2599,0.71255,1.27251,0.83329,0.88674,0.89418,0.64449,1.17553,0.57314,1.29834,0.006304,0.006304,0.006304
58,2086.35,1.26166,0.72153,1.28302,0.84386,0.86954,0.89032,0.63197,1.18554,0.57741,1.31224,0.006238,0.006238,0.006238
59,2121.92,1.26137,0.71651,1.27229,0.81422,0.881,0.88613,0.63584,1.19145,0.58479,1.3015,0.006172,0.006172,0.006172
60,2157.37,1.25549,0.71241,1.27524,0.85099,0.87711,0.89714,0.65019,1.16376,0.57691,1.28554,0.006106,0.006106,0.006106
61,2192.8,1.25887,0.70638,1.27622,0.85009,0.88302,0.89429,0.64761,1.17244,0.56442,1.29758,0.00604,0.00604,0.00604
62,2228.38,1.25453,0.69845,1.26903,0.85408,0.89072,0.89582,0.64457,1.17692,0.56486,1.30204,0.005974,0.005974,0.005974
63,2263.89,1.25102,0.70801,1.27019,0.84932,0.8783,0.89205,0.64761,1.17952,0.55868,1.30087,0.005908,0.005908,0.005908
64,2299.33,1.24252,0.70168,1.26533,0.81254,0.90417,0.88961,0.64243,1.18609,0.57007,1.30924,0.005842,0.005842,0.005842
65,2335.07,1.24337,0.70738,1.26746,0.85138,0.8788,0.88828,0.64098,1.19522,0.5727,1.30457,0.005776,0.005776,0.005776
66,2370.41,1.24282,0.70062,1.26755,0.84548,0.88667,0.89721,0.6398,1.18655,0.56337,1.30116,0.00571,0.00571,0.00571
67,2405.89,1.24406,0.69212,1.26545,0.84047,0.88314,0.89851,0.6517,1.18899,0.56204,1.30275,0.005644,0.005644,0.005644
68,2441.13,1.22552,0.68644,1.2537,0.82956,0.90066,0.88707,0.63566,1.19881,0.56619,1.31092,0.005578,0.005578,0.005578
69,2476.46,1.23265,0.68203,1.25358,0.83546,0.89223,0.88841,0.64174,1.18588,0.56563,1.3038,0.005512,0.005512,0.005512
70,2512.05,1.23713,0.68071,1.26259,0.83077,0.88725,0.89203,0.63688,1.19169,0.57789,1.30516,0.005446,0.005446,0.005446
71,2547.55,1.23287,0.68953,1.26039,0.84953,0.88666,0.89711,0.647,1.18637,0.56499,1.30599,0.00538,0.00538,0.00538
72,2582.95,1.219,0.67208,1.24636,0.82945,0.88951,0.89434,0.6454,1.18402,0.56303,1.30522,0.005314,0.005314,0.005314
73,2617.99,1.22831,0.67925,1.25408,0.85037,0.87571,0.89056,0.6452,1.17836,0.56569,1.30119,0.005248,0.005248,0.005248
74,2653.25,1.21606,0.68445,1.25646,0.82568,0.8887,0.88816,0.64098,1.18067,0.56041,1.29771,0.005182,0.005182,0.005182
75,2688.28,1.22196,0.6809,1.2584,0.83363,0.8961,0.88976,0.64629,1.16666,0.55832,1.2903,0.005116,0.005116,0.005116
76,2723.75,1.2178,0.67188,1.24988,0.8224,0.90303,0.89178,0.64845,1.16862,0.56328,1.28703,0.00505,0.00505,0.00505
77,2758.7,1.2174,0.66271,1.24337,0.83479,0.89105,0.89321,0.65044,1.17674,0.5663,1.29464,0.004984,0.004984,0.004984
78,2794.14,1.2202,0.66762,1.2475,0.83303,0.88786,0.89056,0.64773,1.17757,0.56218,1.2953,0.004918,0.004918,0.004918
79,2829.22,1.21426,0.6648,1.24819,0.83395,0.89074,0.89183,0.64488,1.1796,0.56799,1.29656,0.004852,0.004852,0.004852
80,2864.46,1.20783,0.66176,1.24305,0.8399,0.86454,0.88997,0.6451,1.173,0.56329,1.29254,0.004786,0.004786,0.004786
81,2899.58,1.20673,0.65976,1.24652,0.84014,0.86202,0.8844,0.64501,1.17338,0.56706,1.29551,0.00472,0.00472,0.00472
82,2934.69,1.20426,0.65599,1.2414,0.84234,0.86645,0.8846,0.64392,1.17485,0.56457,1.29388,0.004654,0.004654,0.004654
83,2969.92,1.20274,0.65851,1.24074,0.84613,0.87454,0.88476,0.64342,1.17645,0.56954,1.29611,0.004588,0.004588,0.004588
84,3005.25,1.20044,0.65221,1.23895,0.83714,0.8698,0.87836,0.641,1.18757,0.56612,1.30936,0.004522,0.004522,0.004522
85,3040.6,1.20474,0.64818,1.24148,0.83278,0.87373,0.88214,0.64136,1.18342,0.56884,1.30276,0.004456,0.004456,0.004456
86,3075.97,1.19627,0.6417,1.2363,0.85058,0.88126,0.88775,0.64611,1.18416,0.56406,1.30682,0.00439,0.00439,0.00439
87,3111.49,1.19483,0.64029,1.23867,0.8358,0.88178,0.88732,0.64445,1.17683,0.56251,1.29964,0.004324,0.004324,0.004324
