epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.4051,3.34405,4.058,3.60158,0.48613,0.32065,0.33025,0.12737,1.97728,2.86332,2.36529,0.00332233,0.00332233,0.00332233
2,89.1866,2.12699,2.37721,2.16413,0.40153,0.69238,0.55412,0.27691,1.6721,2.0695,2.06512,0.00661174,0.00661174,0.00661174
3,124.271,1.92332,1.93925,1.88272,0.73349,0.6348,0.73278,0.43103,1.51808,1.32264,1.72754,0.00985714,0.00985714,0.00985714
4,160.039,1.76012,1.61693,1.68748,0.61525,0.75319,0.76671,0.46687,1.43004,1.36062,1.63686,0.009802,0.009802,0.009802
5,193.128,1.67266,1.40166,1.59681,0.70072,0.81023,0.80185,0.51198,1.3842,1.01676,1.55953,0.009736,0.009736,0.009736
6,227.334,1.61093,1.28232,1.55307,0.71038,0.79447,0.78261,0.48619,1.38463,1.1428,1.5525,0.00967,0.00967,0.00967
7,260.835,1.57242,1.19639,1.50615,0.74713,0.84185,0.8222,0.52241,1.35519,0.88161,1.52333,0.009604,0.009604,0.009604
8,294.012,1.5471,1.14919,1.49445,0.7721,0.81729,0.82791,0.54342,1.34241,0.90116,1.4873,0.009538,0.009538,0.009538
9,327.642,1.52402,1.10621,1.47166,0.73833,0.83498,0.82601,0.5351,1.31175,0.85026,1.49204,0.009472,0.009472,0.009472
10,361.128,1.50287,1.07478,1.45385,0.74937,0.82258,0.84217,0.5421,1.33661,0.82062,1.49519,0.009406,0.009406,0.009406
11,394.758,1.48743,1.02239,1.43693,0.75602,0.84284,0.83396,0.55758,1.28014,0.79808,1.41761,0.00934,0.00934,0.00934
12,428.315,1.49189,1.00599,1.43242,0.75727,0.84906,0.8453,0.57151,1.28352,0.77378,1.40553,0.009274,0.009274,0.009274
13,462.374,1.47132,0.98543,1.42287,0.76188,0.85979,0.85552,0.55833,1.31572,0.7455,1.43658,0.009208,0.009208,0.009208
14,497.011,1.45154,0.95736,1.41528,0.75223,0.83327,0.85784,0.57656,1.30878,0.75692,1.4355,0.009142,0.009142,0.009142
15,531.655,1.44408,0.95263,1.40388,0.77087,0.86595,0.85883,0.58133,1.28776,0.72411,1.39516,0.009076,0.009076,0.009076
16,565.768,1.43741,0.94428,1.39646,0.76211,0.83228,0.85932,0.58466,1.26417,0.72089,1.38819,0.00901,0.00901,0.00901
17,600.612,1.4396,0.92826,1.402,0.7716,0.85023,0.85968,0.60085,1.24506,0.69692,1.35006,0.008944,0.008944,0.008944
18,634.555,1.40934,0.90451,1.37985,0.79647,0.84497,0.86171,0.59664,1.25842,0.67643,1.36747,0.008878,0.008878,0.008878
19,668.538,1.40913,0.89324,1.37926,0.80342,0.86565,0.86677,0.59472,1.26625,0.68221,1.38439,0.008812,0.008812,0.008812
20,702.405,1.3966,0.87575,1.36643,0.79925,0.83955,0.86133,0.58683,1.25533,0.70676,1.37552,0.008746,0.008746,0.008746
21,736.393,1.3827,0.86801,1.35825,0.77647,0.81618,0.85177,0.5907,1.25168,0.71156,1.36592,0.00868,0.00868,0.00868
22,770.307,1.38087,0.85664,1.35561,0.78072,0.8877,0.86135,0.60657,1.2423,0.67267,1.35283,0.008614,0.008614,0.008614
23,804.418,1.3761,0.85239,1.35533,0.79816,0.8287,0.86969,0.61136,1.2154,0.67121,1.3384,0.008548,0.008548,0.008548
24,838.228,1.37088,0.8401,1.34743,0.77589,0.87292,0.87097,0.60547,1.22958,0.65709,1.35092,0.008482,0.008482,0.008482
25,872.15,1.37015,0.84572,1.34613,0.81447,0.84517,0.87246,0.60378,1.23955,0.66478,1.35668,0.008416,0.008416,0.008416
26,905.954,1.35735,0.82483,1.33895,0.77805,0.8813,0.86213,0.60404,1.22717,0.6491,1.33749,0.00835,0.00835,0.00835
27,940.197,1.36648,0.82888,1.34608,0.81316,0.86625,0.87071,0.60732,1.2316,0.64216,1.34171,0.008284,0.008284,0.008284
