epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.2165,3.93215,4.61582,3.98331,0.41626,0.22702,0.17777,0.07228,2.28804,3.95615,2.78035,0.00332233,0.00332233,0.00332233
2,84.198,2.26134,2.57124,2.34745,0.49471,0.38372,0.45968,0.21477,1.6671,1.99536,2.06061,0.00661174,0.00661174,0.00661174
3,123.923,1.95088,2.00618,1.92826,0.52082,0.67145,0.65489,0.32212,1.56502,1.66074,1.78591,0.00985714,0.00985714,0.00985714
4,164.116,1.77223,1.67636,1.7087,0.89172,0.63651,0.73276,0.42487,1.49076,1.48218,1.69195,0.009802,0.009802,0.009802
5,206.095,1.68435,1.47228,1.62125,0.74323,0.81203,0.80268,0.49565,1.43552,1.02469,1.62303,0.009736,0.009736,0.009736
6,247.365,1.61871,1.32101,1.57053,0.7739,0.79281,0.82772,0.51436,1.3867,1.02273,1.5387,0.00967,0.00967,0.00967
7,295.076,1.58506,1.23127,1.52557,0.74404,0.78783,0.82267,0.52228,1.34359,0.98839,1.52443,0.009604,0.009604,0.009604
8,352.151,1.55667,1.18472,1.5148,0.79977,0.80915,0.8503,0.56644,1.32966,0.92688,1.47511,0.009538,0.009538,0.009538
9,422.457,1.53592,1.12936,1.49385,0.75199,0.81536,0.84766,0.55868,1.30732,0.86057,1.45867,0.009472,0.009472,0.009472
10,489.812,1.51223,1.09551,1.47384,0.79273,0.82567,0.84818,0.57174,1.30672,0.83432,1.43121,0.009406,0.009406,0.009406
11,557.507,1.49264,1.04479,1.45693,0.74928,0.8318,0.84409,0.57262,1.3031,0.81338,1.44849,0.00934,0.00934,0.00934
12,623.541,1.49993,1.01126,1.45907,0.73843,0.83502,0.83671,0.55631,1.30108,0.80063,1.43776,0.009274,0.009274,0.009274
13,688.248,1.47937,1.00413,1.44526,0.76039,0.84125,0.83758,0.5545,1.32889,0.78141,1.44136,0.009208,0.009208,0.009208
14,753.195,1.45941,0.96673,1.43597,0.8352,0.81013,0.87544,0.59544,1.26916,0.73999,1.40179,0.009142,0.009142,0.009142
15,817.219,1.44702,0.95469,1.42263,0.76166,0.82484,0.84211,0.57777,1.28666,0.7687,1.40785,0.009076,0.009076,0.009076
16,880.79,1.44776,0.9461,1.42203,0.78896,0.86132,0.86647,0.60021,1.25826,0.71174,1.39648,0.00901,0.00901,0.00901
17,943.999,1.44684,0.93696,1.42621,0.80708,0.85093,0.86312,0.60648,1.24447,0.6984,1.37758,0.008944,0.008944,0.008944
18,1007.01,1.42171,0.9045,1.40657,0.82733,0.89037,0.88778,0.60711,1.27279,0.67333,1.41576,0.008878,0.008878,0.008878
19,1070.38,1.41788,0.89931,1.40311,0.84422,0.8503,0.88616,0.6121,1.24135,0.68237,1.3826,0.008812,0.008812,0.008812
20,1133.99,1.40365,0.87451,1.38964,0.83442,0.85483,0.88719,0.61863,1.22877,0.65994,1.36171,0.008746,0.008746,0.008746
21,1198.99,1.39507,0.87353,1.3808,0.80915,0.84933,0.87464,0.59446,1.25739,0.68222,1.39853,0.00868,0.00868,0.00868
22,1277.83,1.39083,0.85743,1.37815,0.81842,0.88221,0.88347,0.62211,1.22962,0.64869,1.36542,0.008614,0.008614,0.008614
23,1351.63,1.378,0.85278,1.37601,0.82851,0.87537,0.89082,0.63094,1.20249,0.63083,1.34463,0.008548,0.008548,0.008548
24,1414.47,1.3746,0.84011,1.36954,0.81213,0.86235,0.87363,0.60954,1.23365,0.65639,1.36848,0.008482,0.008482,0.008482
